Name,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,City School
Clark University,Private,New England,Mid-size City,0.6154,2312,47248,0,0,0.6207,0.0389,0.064,0.0554,0.0004,0.0004,0.0229,0.1211,0.0216,47248,10780,9630,0.5838,0.2071,0.8094,0.8859,0.0303,23000,26000,10250,0.939999998,0.409999996,20.62000084,88024.49,75720.5,6.489999771,46,568,41500,38800,1
Loyola University Chicago,Private,Great Lakes,Large City,0.914,9931,47727,27,1195,0.6138,0.0354,0.1266,0.1131,0.001,0.0015,0.0575,0.03,0.0755,47727,11462,9432,0.5019,0.299,0.7101,0.8541,0.0804,22934,25751,11000,0.970000029,0.430000007,20.51000023,85748.31,67583.5,6.300000191,281,2324,50600,45500,1
University of Detroit Mercy,Private,Great Lakes,Large City,0.6147,2871,48027,25,1142,0.5291,0.1007,0.0286,0.032,0.0024,0.0017,0.024,0.0582,0.2351,48027,14080,8667,1,0.2873,0.5682,0.8246,0.2389,19300,25000,12673,0.959999979,0.529999971,24.95999908,58134.97,44772,10.15999985,108,843,48200,43000,1
Texas Christian University,Private,Southwest,Large City,0.4739,8597,48189,27,1206,0.738,0.0512,0.1059,0.0224,0.0098,0.0026,0.0077,0.0455,0.0335,48189,14422,10206,0.9804,0.1447,0.76,0.9021,0.0521,19500,22500,9500,0.970000029,0.360000014,20.54999924,103263.14,81852.5,6.46999979,136,1651,50700,45800,1
Illinois Institute of Technology,Private,Great Lakes,Large City,0.5697,2855,48940,28,1252,0.373,0.0683,0.1471,0.1082,0.0042,0.0042,0.0046,0.2452,0.0511,48940,12231,11256,0.5634,0.3167,0.625,0.8596,0.1459,22015,26981.5,12000,0.959999979,0.409999996,21.44000053,69130.16,55985.5,6.590000153,64,624,70000,61700,1
Savannah College of Art and Design,Private,Southeast,Mid-size City,0.6547,8750,49179,24,1078,0.5605,0.1086,0.0805,0.044,0.0056,0.0023,0.0023,0.1168,0.1621,49179,10302,8024,0.7974,0.2601,0.683,0.8071,0.1007,21521.5,27000,9500,0.980000019,0.419999987,20.45999908,95838.42,78907,7.019999981,224,1637,35800,29700,1
St John's University-New York,Private,Mid-Atlantic,Large City,0.5316,11147,50233,24,1093,0.3391,0.1931,0.1639,0.1887,0.002,0.0029,0.0432,0.0499,0.0292,50233,10743,11777,0.4538,0.3083,0.557,0.7962,0.038,20000,25920,11500,0.920000017,0.589999974,19.69000053,65214.94,49731,10.30000019,429,3984,54700,48000,1
Seattle University,Private,Far West,Large City,0.7323,4595,50610,27,1175,0.4699,0.0322,0.0908,0.1602,0.0059,0.0067,0.0694,0.1032,0.0477,50610,15139,9051,0.7077,0.2109,0.7663,0.8602,0.0677,24000,25334,11000,0.970000029,0.439999998,21.61000061,78227.76,59408,6.420000076,137,1364,52900,49500,1
University of Portland,Private,Far West,Large City,0.668,3468,51036,0,1195,0.6401,0.0087,0.0998,0.1024,0.0032,0.0141,0.079,0.0288,0.0167,51036,10427,7678,0.5985,0.2189,0.755,0.9002,0.0321,22454,25000,10000,0.970000029,0.319999993,20.42000008,98696.67,86897,6.579999924,55,821,52400,48800,1
Baylor University,Private,Southwest,Mid-size City,0.5747,13221,51086,27,1215,0.6408,0.0741,0.1386,0.0646,0.0033,0.0003,0.0473,0.0289,0.0142,51086,14046,8793,0.8148,0.22,0.7472,0.8825,0.0245,21000,25281,9500,0.949999988,0.439999998,19.79999924,93014.48,72163,7.460000038,200,2541,47700,43700,1
Emerson College,Private,New England,Large City,0.4798,3720,51158,28,1240,0.6465,0.0296,0.1022,0.0387,0.0005,0.0008,0.0457,0.0465,0.0142,51158,9283,9204,0.4357,0.1702,0.8147,0.8811,0.0194,21500,23312,8750,0.99000001,0.25999999,19.67000008,108523.09,94808,5.420000076,95,1038,42600,38900,1
Rice University,Private,Southwest,Large City,0.1674,3920,52242,33,1454,0.3944,0.0643,0.1505,0.2138,0.0015,0,0.0469,0.1145,0.0135,52242,39651,13468,0.7813,0.1723,0.9111,0.9817,0.0048,7727,8413,6125,0.910000026,0.289999992,20.45999908,91944.43,71258,7.420000076,34,491,73200,56500,1
University of the Pacific,Private,Far West,Large City,0.7265,3869,52406,26,1172,0.3223,0.0269,0.1858,0.3153,0.0067,0.0047,0.0432,0.0538,0.0238,52406,17606,10089,0.5588,0.4011,0.5669,0.8656,0.0598,21250,23500,18750,0.959999979,0.389999986,22.03000069,62103.51,40951,9.18999958,111,1339,75600,64000,1
Saint Louis University,Private,Great Plains,Large City,0.6443,7961,52413,28,1237,0.6568,0.0688,0.0329,0.0823,0.0013,0,0.0509,0.0764,0.1025,52413,16641,10028,0.5867,0.1415,0.6974,0.8683,0.0955,20500,25000,11000,0.980000019,0.330000013,20.87000084,103272.02,87461,6.179999828,119,1894,52700,48100,1
Maryland Institute College of Art,Private,Mid-Atlantic,Large City,0.5803,1892,52649,0,1175,0.5423,0.0523,0.0592,0.1173,0.0032,0.0016,0.0502,0.0782,0.0703,52649,13502,8764,0.3421,0.2429,0.7273,0.8257,0.0839,23000,27000,11125,0.99000001,0.349999994,19.98999977,99535.03,89961,5.449999809,63,439,33500,30900,1
Lewis & Clark College,Private,Far West,Large City,0.6285,1985,53455,29,1279,0.6479,0.0217,0.0841,0.0605,0.0141,0.003,0.0076,0.0494,0.0101,53455,14496,9221,0.5422,0.2135,0.7451,0.8623,0.0108,19115,22389.5,10500,0.980000019,0.270000011,20.96999931,83576.98,67573,6.480000019,50,482,42500,37600,1
University of Denver,Private,Rocky Mountains,Large City,0.7673,5505,53614,28,1231,0.6836,0.0272,0.089,0.0416,0.0051,0.0009,0.0312,0.0885,0.0701,53614,14113,8914,0.5039,0.1856,0.7752,0.8678,0.0741,20832,24500,11753,0.939999998,0.349999994,22.87000084,86015.75,55997.5,5.28000021,158,1392,53700,47600,1
Muhlenberg College,Private,Mid-Atlantic,Mid-size City,0.4616,2357,53637,28,1246,0.7709,0.0267,0.0526,0.0293,0.0017,0.0004,0.0157,0.0064,0.0297,53637,14525,8429,0.5952,0.0784,0.8584,0.9071,0.0899,24187,26941,10200,0.980000019,0.189999998,20.62999916,125281.36,110473,4.25,25,467,51700,49100,1
Yeshiva University,Private,Mid-Atlantic,Large City,0.8216,2887,53825,26,1217,0.9193,0.0007,0.0042,0.0007,0,0,0.0035,0.0578,0.0364,53825,33021,5086,0.6916,0.181,0.8519,0.929,0.0024,15358.5,19361,10500,0.889999986,0.419999987,19.62000084,109592.47,87607,8.220000267,112,420,59500,49000,1
Drexel University,Private,Mid-Atlantic,Large City,0.815,16257,53831,27,1197,0.5657,0.064,0.0564,0.1257,0.0015,0.0063,0.0263,0.1273,0.1446,53831,13309,10246,0.5358,0.2021,0.6951,0.8644,0.1823,17027.5,26098,10873,0.980000019,0.300000012,22.21999931,84469.63,69348,6.46999979,316,3828,64000,58400,1
Catholic University of America,Private,Mid-Atlantic,Large City,0.6007,3641,54023,25,1118,0.6311,0.0549,0.1052,0.0313,0.0016,0.0011,0.0313,0.0481,0.0536,54023,15799,9565,0.4848,0.1232,0.6852,0.8261,0.094,22000,26000,9500,0.980000019,0.239999995,21.21999931,120106.07,106352,5.400000095,71,808,51100,48900,1
Colorado College,Private,Rocky Mountains,Large City,0.2228,2025,54200,30,1323,0.6963,0.0212,0.0884,0.0435,0.0044,0,0.0785,0.0612,0,54200,20972,10886,0.8605,0.0983,0.8721,0.9608,0.0034,17255,18049.5,12000,0.899999976,0.370000005,20.12999916,100140.33,73379,6.360000134,35,284,39400,34400,1
Pratt Institute-Main,Private,Mid-Atlantic,Large City,0.5572,3247,54582,26,1140,0.4521,0.0447,0.0986,0.1571,0.0034,0.0034,0.0006,0.2239,0.0314,54582,13360,9254,0.1423,0.2622,0.6277,0.8673,0.0628,23241,27000,12000,0.980000019,0.49000001,20.88999939,75159.24,59029,8.239999771,168,1016,40600,37300,1
American University,Private,Mid-Atlantic,Large City,0.4312,6829,55159,28,1258,0.5671,0.064,0.1012,0.0638,0.0018,0.0004,0.0499,0.0688,0.0346,55159,12700,11074,0.5764,0.1565,0.7989,0.8821,0.0252,19500,23500,9250,0.980000019,0.310000002,20.04999924,105560.77,86431,5.340000153,153,1443,55900,51600,1
Macalester College,Private,Great Plains,Large City,0.3416,2029,55393,31,1350,0.6654,0.0266,0.0616,0.0705,0.001,0,0.0517,0.1232,0.0094,55393,17781,9450,0.7895,0.172,0.8742,0.9513,0.001,21996.5,23501.5,13717.5,0.99000001,0.319999993,19.37999916,93155.63,85439.5,6.03000021,35,308,45600,38900,1
Loyola Marymount University,Private,Far West,Large City,0.5412,6087,55432,27,1202,0.4894,0.0563,0.221,0.1045,0.0025,0.0013,0.0726,0.0524,0.0276,55432,14921,10098,0.5352,0.1923,0.7583,0.9144,0.0232,20201.5,22299.5,13562.5,0.970000029,0.370000005,20.12000084,101494.67,76696,8.600000381,154,1450,58000,49600,1
Syracuse University,Private,Mid-Atlantic,Mid-size City,0.4949,14738,55600,26,1158,0.5567,0.0894,0.1076,0.0807,0.0071,0.0005,0.0257,0.0936,0.0368,55600,14915,10822,0.6598,0.2677,0.8108,0.919,0.0353,27000,27000,16750,0.970000029,0.379999995,20.01000023,98994.29,80005.5,7.550000191,201,3177,54800,50800,1
Case Western Reserve University,Private,Great Lakes,Large City,0.4188,4551,55783,31,1377,0.5364,0.047,0.051,0.1868,0.0013,0.0002,0.0363,0.0824,0.011,55783,31974,10272,0.8044,0.2004,0.8012,0.9424,0.0191,22500,25000,14250,0.99000001,0.25999999,21.94000053,72928.28,57740,6.449999809,102,1143,74300,61800,1
University of San Francisco,Private,Far West,Large City,0.6129,6308,55812,25,1161,0.311,0.0293,0.1872,0.194,0.0019,0.0049,0.0699,0.1815,0.0371,55812,15041,12409,0.4135,0.2625,0.6901,0.8646,0.0832,23000,25000,20300,0.959999979,0.439999998,22.20999908,90594.28,70581,6.559999943,157,1397,62000,53300,1
Worcester Polytechnic Institute,Private,New England,Mid-size City,0.5159,4012,55866,0,0,0.6451,0.0254,0.0723,0.0491,0.002,0,0.0302,0.1264,0.0297,55866,22494,8598,0.75,0.1508,0.8124,0.9589,0.014,27000,27000,22500,0.99000001,0.280000001,19.47999954,99994.76,93479,5.429999828,54,903,75300,75200,1
Northeastern University,Private,New England,Large City,0.3231,13204,55914,32,1394,0.4951,0.0344,0.0663,0.0996,0.0008,0.0002,0.0354,0.1761,0,55914,13078,11581,0.7425,0.1424,0.8256,0.9553,0.0152,25759.5,28804.5,24500,0.980000019,0.310000002,20.93000031,99407.61,83394,5.690000057,313,4676,60600,56400,1
University of Richmond,Private,Southeast,Mid-size City,0.3116,3107,55980,30,1313,0.5845,0.0766,0.0705,0.0557,0.0026,0.0003,0.0348,0.0882,0.057,55980,18204,10983,0.6464,0.2005,0.8502,0.9373,0.0703,18370,19500,10250,0.970000029,0.230000004,22.28000069,109334.2,90735.5,4.789999962,44,639,61800,51500,1
Providence College,Private,New England,Mid-size City,0.5979,3969,56184,26,1158,0.7667,0.0411,0.0675,0.0118,0.0013,0.0018,0.0154,0.0186,0.0448,56184,12232,9471,0.6226,0.1341,0.8504,0.9078,0.0689,27000,27000,14500,0.980000019,0.209999993,19.87999916,120179.81,110798,4.889999866,43,1019,57700,52900,1
Berklee College of Music,Private,New England,Large City,0.3617,4402,56335,0,0,0.3866,0.0534,0.0888,0.0338,0.0011,0.0018,0.0404,0.3105,0.1027,56335,20301,9480,0.3851,0.1889,0.4963,0.7986,0.1479,21046,27000,14000,0.980000019,0.370000005,20.79000092,94505.71,79421,6.550000191,182,1013,31400,26200,1
University of San Diego,Private,Far West,Large City,0.4885,5573,56346,28,1228,0.5539,0.0278,0.1888,0.0592,0.0047,0.0031,0.0574,0.0599,0.0257,56346,13166,11648,0.4518,0.1807,0.7502,0.9021,0.0478,19500,22500,10215.5,0.970000029,0.289999992,20.85000038,97719.44,69873.5,6.599999905,134,1290,61800,53400,1
Fordham University,Private,Mid-Atlantic,Large City,0.4713,8193,56604,28,1258,0.6133,0.0426,0.1407,0.0882,0.001,0.0009,0.0333,0.0555,0.0648,56604,13784,12679,1,0.2042,0.8051,0.9051,0.0787,21500,25000,9652,0.949999988,0.419999987,20.09000015,96092.62,74870,9.079999924,250,2385,54600,50300,1
College of the Holy Cross,Private,New England,Mid-size City,0.3297,2878,56706,0,0,0.6807,0.0407,0.107,0.0452,0.0017,0,0.0299,0.009,0.0003,56706,18859,9666,0.8677,0.1627,0.9136,0.9515,0.0014,27000,27000,10900,0.949999988,0.25999999,19.31999969,125254.65,108458,5.579999924,31,513,66500,55800,1
Loyola University Maryland,Private,Mid-Atlantic,Large City,0.58,3972,56736,27,1194,0.7941,0.0506,0.0921,0.0302,0.002,0.0005,0.0214,0.0038,0.0083,56736,11584,8346,0.6188,0.1414,0.8437,0.8731,0.0072,26000,27000,8490.5,0.99000001,0.219999999,19.36000061,134101.78,112164,4.119999886,43,803,64000,56400,1
Massachusetts Institute of Technology,Private,New England,Mid-size City,0.0815,4510,57010,34,1503,0.3707,0.053,0.1643,0.2404,0.0027,0,0.0508,0.096,0.0055,57010,58223,15617,0.9862,0.1825,0.9307,0.9788,0.0068,13000,13645,10515,0.920000017,0.319999993,21.01000023,95848.89,79076,7.349999905,86,810,125100,86900,1
Chapman University,Private,Far West,Mid-size City,0.4471,5940,57020,27,1208,0.5978,0.0162,0.1433,0.0981,0.003,0.0024,0.0586,0.038,0.0348,57020,13977,11095,1,0.2035,0.761,0.9073,0.0303,19000,20250,14000,0.970000029,0.340000004,27.71999931,71813.4,53889,8.31000042,363,3037,49800,48000,1
Santa Clara University,Private,Far West,Mid-size City,0.5122,5404,57213,29,1294,0.4785,0.0298,0.1745,0.144,0.0013,0.0024,0.0661,0.0298,0.0167,57213,10783,11662,0.6019,0.1389,0.8401,0.9498,0.0153,19500,20500,15291,0.949999988,0.330000013,19.95000076,120161.97,100259,5.46999979,84,953,69200,61500,1
Reed College,Private,Far West,Large City,0.4853,1351,57701,31,1371,0.6077,0.0163,0.1081,0.0511,0.0015,0,0.0807,0.0607,0.0052,57701,20261,10092,1,0.1718,0.819,0.9406,0.0143,15500,16098.5,8914,0.959999979,0.409999996,19.69000053,90869.88,69123.5,7.170000076,26,163,36000,28400,1
Harvard University,Private,New England,Mid-size City,0.0584,7278,57950,34,1501,0.4624,0.0653,0.0933,0.1777,0.0022,0.0008,0.0599,0.1028,0.0503,57950,47083,17861,0.8595,0.1016,0.9747,0.9706,0.2342,7500,6000,12500,0.899999976,0.230000004,23.64999962,60645.79,33323.5,7.769999981,186,1600,118700,77600,1
Brown University,Private,New England,Mid-size City,0.0918,6182,58140,32,1425,0.4327,0.0642,0.1084,0.1233,0.0039,0.001,0.0537,0.1166,0.0057,58140,30823,13381,0.8849,0.1444,0.9452,0.9714,0.0112,15164,16000,11966.5,0.970000029,0.340000004,19.78000069,103616.9,84559,7.269999981,94,803,70400,54400,1
Wake Forest University,Private,Southeast,Mid-size City,0.352,4812,58260,0,0,0.76,0.065,0.0599,0.0486,0.0017,0.0006,0.0266,0.0374,0.0125,58260,26136,10928,0.8259,0.1202,0.8646,0.9294,0.0012,21000,22810,12750,0.959999979,0.270000011,19.37999916,124215.22,103314,5.329999924,38,595,66100,52800,1
Tulane University of Louisiana,Private,Southeast,Large City,0.2643,8290,58904,31,1341,0.718,0.0901,0.0585,0.0364,0.0039,0.0008,0.0293,0.0303,0.2175,58904,21299,10880,0.774,0.1617,0.7602,0.9049,0.1571,20001,27000,10500,0.959999979,0.310000002,22.81999969,78916.25,45863.5,9.210000038,217,1867,63600,51200,1
George Washington University,Private,Mid-Atlantic,Large City,0.3308,10121,58925,29,1297,0.6026,0.0653,0.0739,0.0948,0.002,0.0007,0.033,0.0879,0.0589,58925,19705,13058,0.4853,0.1356,0.8083,0.9226,0.0783,22723,25175,13500,0.99000001,0.270000011,20.29999924,105732.4,85746,5.539999962,198,1956,69400,60100,1
Johns Hopkins University,Private,Mid-Atlantic,Large City,0.1813,5932,58980,32,1418,0.4872,0.0556,0.1015,0.1861,0.0012,0.0007,0.0406,0.1043,0.0158,58980,75570,10922,0.8637,0.1307,0.9254,0.9704,0.0775,17500,18500,15504,0.980000019,0.189999998,22.92000008,83968.47,57761.5,6.179999828,135,1250,73800,64400,1
Boston University,Private,New England,Large City,0.4561,16460,59036,28,1279,0.4733,0.0323,0.0928,0.1326,0.0007,0.001,0.0376,0.1586,0.0258,59036,27281,12360,0.6283,0.1487,0.8448,0.9279,0.0317,25500,27000,15562.5,0.980000019,0.25,19.95000076,106244,91507,5.769999981,334,4062,60000,53600,1
University of Rochester,Private,Mid-Atlantic,Mid-size City,0.3568,6047,59156,31,1353,0.5361,0.0475,0.0567,0.1052,0.0026,0.0008,0.0278,0.1507,0.0377,59156,29937,12762,0.9527,0.1844,0.8518,0.9605,0.0614,24325.5,26000,13500,0.99000001,0.300000012,20.23999977,97862.81,85192,6.260000229,79,996,59500,50200,1
Yale University,Private,New England,Mid-size City,0.0705,5422,59320,34,1497,0.4734,0.0673,0.1013,0.1645,0.0057,0.0006,0.0598,0.1051,0.0011,59320,106214,16042,0.7281,0.1273,0.9779,0.9867,0.0057,12000,12000,12775,0.939999998,0.209999993,22.29999924,73769.14,45652.5,7.769999981,123,1206,100000,70600,1
Duke University,Private,Southeast,Mid-size City,0.1342,6501,59528,32,1444,0.4861,0.1001,0.0611,0.2124,0.0062,0.0005,0.0174,0.0892,0.0009,59528,51653,14288,0.94,0.1366,0.9423,0.972,0.0038,6569,6500,7000,0.959999979,0.239999995,21.30999947,92670.02,73265,6.349999905,107,1107,96500,69400,1
Barnard College,Private,Mid-Atlantic,Large City,0.2053,2486,59581,30,1340,0.5688,0.0535,0.1114,0.1456,0.0008,0,0.0503,0.0696,0.0105,59581,21351,11888,0.6053,0.1841,0.8966,0.9764,0.0048,16000,17493,9750,0.939999998,0.439999998,19.23999977,105139.12,77701,8.739999771,29,305,55100,46900,1
Rhode Island School of Design,Private,New England,Mid-size City,0.2731,2005,59597,28,1239,0.3342,0.0249,0.0828,0.1636,0.0015,0.001,0.0339,0.2369,0,59597,20460,7949,0.2747,0.1537,0.8732,0.9263,0.0259,25000,26024.5,17500,0.99000001,0.280000001,21.53000069,92334.03,75194,6.710000038,68,471,41700,39200,1
University of Pennsylvania,Private,Mid-Atlantic,Large City,0.1224,10606,59600,32,1442,0.4629,0.0731,0.0998,0.1815,0.0014,0.0006,0.0359,0.1052,0.0437,59600,52081,15460,0.7278,0.1417,0.9569,0.9778,0.0567,19500,21500,12500,0.980000019,0.180000007,22.21999931,87200.75,62169,7.010000229,250,2466,106600,73200,1
Carnegie Mellon University,Private,Mid-Atlantic,Large City,0.2549,5834,59710,32,1432,0.3877,0.0519,0.0754,0.2473,0.0005,0.0002,0.0415,0.1414,0.019,59710,24821,11055,0.9324,0.137,0.8799,0.9422,0.0166,23000,25000,14750,0.980000019,0.300000012,19.82999992,103727.25,90107.5,5.909999847,113,1139,90200,72200,1
University of Southern California,Private,Far West,Large City,0.1984,18087,59787,31,1380,0.3812,0.0442,0.1355,0.2306,0.0013,0.0012,0.0475,0.1209,0.0281,59787,42077,13045,0.5727,0.2308,0.9117,0.9599,0.0377,21500,22841.5,17125,0.959999979,0.349999994,21.65999985,74599.85,42938,8.75,462,4462,74400,62300,1
Trinity College,Private,New England,Mid-size City,0.3178,2239,59865,27,1240,0.6498,0.063,0.0728,0.0451,0.0004,0,0.0331,0.0826,0.0447,59865,23403,10884,0.7414,0.116,0.8628,0.9086,0.0278,19275,21500,8000,0.910000026,0.400000006,20.31999969,117428.63,87726,7.480000019,25,337,56000,50300,1
Vanderbilt University,Private,Southeast,Large City,0.1274,6794,59890,33,1475,0.6057,0.0802,0.0792,0.0848,0.0038,0.0006,0.0489,0.0578,0.0057,59890,76995,12871,0.8362,0.1429,0.9252,0.9732,0.0023,13000,13750,8959,0.930000007,0.330000013,19.93000031,99004.36,74999.5,6.650000095,86,937,70800,54400,1
Georgetown University,Private,Mid-Atlantic,Large City,0.1697,7261,59900,31,1398,0.5886,0.0638,0.0788,0.0919,0.0014,0.0008,0.0394,0.1073,0.0281,59900,29282,12851,0.5314,0.1325,0.9245,0.9598,0.0597,17125,17500,12000,0.980000019,0.209999993,21.87000084,87179.34,60247,6.539999962,175,1668,100300,76200,1
New York University,Private,Mid-Atlantic,Large City,0.2605,22172,60059,30,1352,0.3837,0.0467,0.1052,0.1837,0.0024,0.0009,0.0346,0.1363,0.0492,60059,28606,13434,0.4045,0.1987,0.8331,0.925,0.0622,21500,23250,15775,0.970000029,0.370000005,20.72999954,99964.68,74827,7.400000095,579,4758,64600,52500,1
Occidental College,Private,Far West,Large City,0.4239,2101,60655,29,1303,0.515,0.0447,0.158,0.1285,0.0024,0.0019,0.0909,0.0371,0.0057,60655,16465,10402,0.7273,0.2131,0.8777,0.9302,0.0042,20900,21500,12000,0.920000017,0.430000007,19.61000061,86871.68,67714.5,8.569999695,43,385,46300,41100,1
Columbia University in the City of New York,Private,Mid-Atlantic,Large City,0.0742,7970,61540,33,1471,0.3922,0.0749,0.1358,0.1709,0.0055,0.0014,0.0449,0.1368,0.0748,61540,78147,15706,0.5324,0.2154,0.9329,0.9734,0.1744,17125,19435,14500,0.980000019,0.209999993,23.76000023,59265.49,30939,8.779999733,320,2328,92500,69500,1
University of Chicago,Private,Great Lakes,Large City,0.0881,5697,62425,34,1504,0.4546,0.0453,0.0869,0.1813,0.0018,0.0005,0.0374,0.0937,0.0128,62425,74864,16589,0.8076,0.1419,0.9268,0.9934,0.0016,17610,18625,15133.5,0.980000019,0.209999993,21.80999947,75760.31,53224,7.239999771,150,1233,86100,58700,1